"Player","Team","Matches_Played","Innings_bowled","Overs","Maidens","Runs","Wickets","BBI","Average","Economy","Batting_strike_rate","4","5","Ct","St"
"S Ladda","Gujarat Lions",1,1,2,0,21,0,0,0,10.5,0,0,0,0,0
"VR Aaron","Royal Challengers Bangalore",8,8,23.4,0,227,2,"2/37",113.5,9.59,71,0,0,0,0
"KJ Abbott","Kings XI Punjab",5,5,16,0,177,2,"1/38",88.5,11.06,48,0,0,0,0
"AD Nath","Gujarat Lions",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA Agarwal","Delhi Daredevils",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"HM Amla","Kings XI Punjab",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankit Sharma","Rising Pune Supergiants",3,3,11,0,84,1,"1/27",84,7.63,66,0,0,1,0
"Anureet Singh","Kings XI Punjab",2,2,6,0,43,0,0,0,7.16,0,0,0,0,0
"S Aravind","Royal Challengers Bangalore",9,9,29.1,0,216,11,"2/18",19.63,7.4,15.9,0,0,3,0
"A Ashish Reddy","Sunrisers Hyderabad",4,2,3.5,0,39,1,"1/14",39,10.17,23,0,0,1,0
"M Ashwin","Rising Pune Supergiants",10,10,28.3,0,241,7,"3/36",34.42,8.45,24.4,0,0,0,0
"R Ashwin","Rising Pune Supergiants",14,14,44,0,319,10,"4/34",31.9,7.25,26.4,1,0,3,0
"GJ Bailey","Rising Pune Supergiants",6,0,0,0,0,0,0,0,0,0,0,0,2,0
"F Behardien","Kings XI Punjab",3,0,0,0,0,0,0,0,0,0,0,0,1,0
"R Bhatia","Rising Pune Supergiants",10,10,34,1,244,6,"2/19",40.66,7.17,34,0,0,2,0
"SW Billings","Delhi Daredevils",5,0,0,0,0,0,0,0,0,0,0,0,3,0
"STR Binny","Royal Challengers Bangalore",14,11,17,0,134,1,"1/17",134,7.88,102,0,0,3,0
"Bipul Sharma","Sunrisers Hyderabad",7,6,14,0,121,3,"1/10",40.33,8.64,28,0,0,2,0
"SM Boland","Rising Pune Supergiants",2,2,7,0,54,2,"2/31",27,7.71,21,0,0,0,0
"TA Boult","Sunrisers Hyderabad",1,1,4,0,39,1,"1/39",39,9.75,24,0,0,1,0
"CR Brathwaite","Delhi Daredevils",8,8,23.1,0,189,7,"3/47",27,8.15,19.8,0,0,3,0
"DJ Bravo","Gujarat Lions",15,15,56,0,494,17,"4/22",29.05,8.82,19.7,1,0,6,0
"JJ Bumrah","Mumbai Indians",14,14,52,0,406,15,"3/13",27.06,7.8,20.8,0,0,1,0
"JC Buttler","Mumbai Indians",14,0,0,0,0,0,0,0,0,0,0,0,7,0
"KC Cariappa","Kings XI Punjab",5,5,17,0,159,3,"2/16",53,9.35,34,0,0,2,0
"YS Chahal","Royal Challengers Bangalore",13,13,49.1,0,401,21,"4/25",19.09,8.15,14,1,0,4,0
"DL Chahar","Rising Pune Supergiants",2,2,5,0,41,0,0,0,8.2,0,0,0,1,0
"UBT Chand","Mumbai Indians",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PP Chawla","Kolkata Knight Riders",12,11,35.2,0,273,11,"2/21",24.81,7.72,19.2,0,0,3,0
"NM Coulter0Nile","Delhi Daredevils",4,4,15,0,114,3,"2/25",38,7.6,30,0,0,0,0
"BCJ Cutting","Sunrisers Hyderabad",4,4,11.1,0,80,5,"2/20",16,7.16,13.4,0,0,1,0
"Q de Kock","Delhi Daredevils",13,0,0,0,0,0,0,0,0,0,0,0,2,2
"AB de Villiers","Royal Challengers Bangalore",16,0,0,0,0,0,0,0,0,0,0,0,19,0
"R Dhawan","Kings XI Punjab",2,2,7,0,56,2,"1/21",28,8,21,0,0,0,0
"S Dhawan","Sunrisers Hyderabad",17,0,0,0,0,0,0,0,0,0,0,0,5,0
"MS Dhoni","Rising Pune Supergiants",14,0,0,0,0,0,0,0,0,0,0,0,8,4
"AB Dinda","Rising Pune Supergiants",9,9,30.3,2,231,11,"3/20",21,7.57,16.6,0,0,0,0
"JP Duminy","Delhi Daredevils",10,5,7,0,55,2,"1/4",27.5,7.85,21,0,0,3,0
"F du Plessis","Rising Pune Supergiants",6,0,0,0,0,0,0,0,0,0,0,0,4,0
"ER Dwivedi","Gujarat Lions",4,0,0,0,0,0,0,0,0,0,0,0,2,0
"JP Faulkner","Gujarat Lions",7,7,17,0,167,2,"1/23",83.5,9.82,51,0,0,3,0
"AJ Finch","Gujarat Lions",13,0,0,0,0,0,0,0,0,0,0,0,3,0
"G Gambhir","Kolkata Knight Riders",15,0,0,0,0,0,0,0,0,0,0,0,1,0
"CH Gayle","Royal Challengers Bangalore",10,4,10,0,63,2,"2/11",31.5,6.3,30,0,0,4,0
"S Gopal","Mumbai Indians",1,1,3,0,18,0,0,0,6,0,0,0,0,0
"MJ Guptill","Mumbai Indians",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gurkeerat Singh","Kings XI Punjab",7,3,4,0,31,2,"2/15",15.5,7.75,12,0,0,5,0
"PSP Handscomb","Rising Pune Supergiants",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harbhajan Singh","Mumbai Indians",14,14,49,0,392,9,"2/29",43.55,8,32.6,0,0,4,0
"JW Hastings","Kolkata Knight Riders",2,2,6.4,1,37,2,"2/6",18.5,5.55,20,0,0,0,0
"TM Head","Royal Challengers Bangalore",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"MC Henriques","Sunrisers Hyderabad",17,17,52,0,415,12,"2/17",34.58,7.98,26,0,0,11,0
"GB Hogg","Kolkata Knight Riders",5,5,16,1,142,4,"3/19",35.5,8.87,24,0,0,3,0
"JO Holder","Kolkata Knight Riders",4,4,13,0,103,2,"2/33",51.5,7.92,39,0,0,0,0
"DJ Hooda","Sunrisers Hyderabad",17,6,13,0,97,3,"2/16",32.33,7.46,26,0,0,3,0
"Imran Tahir","Delhi Daredevils",4,4,16,0,138,5,"3/24",27.6,8.62,19.2,0,0,0,0
"Iqbal Abdulla","Royal Challengers Bangalore",8,8,25,0,213,6,"3/40",35.5,8.52,25,0,0,4,0
"Ishan Kishan","Gujarat Lions",5,0,0,0,0,0,0,0,0,0,0,0,1,0
"SS Iyer","Delhi Daredevils",6,0,0,0,0,0,0,0,0,0,0,0,4,0
"RA Jadeja","Gujarat Lions",15,14,40.1,0,311,8,"2/18",38.87,7.74,30.1,0,0,4,0
"KM Jadhav","Royal Challengers Bangalore",4,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB Jakati","Gujarat Lions",6,6,20,0,178,2,"1/13",89,8.9,60,0,0,4,0
"MG Johnson","Kings XI Punjab",3,3,11,0,106,2,"1/35",53,9.63,33,0,0,1,0
"CJ Jordan","Royal Challengers Bangalore",9,9,28,0,258,11,"4/11",23.45,9.21,15.2,1,0,4,0
"KD Karthik","Gujarat Lions",16,0,0,0,0,0,0,0,0,0,0,0,11,3
"S Kaushik","Gujarat Lions",7,7,23,0,192,6,"3/20",32,8.34,23,0,0,0,0
"SN Khan","Royal Challengers Bangalore",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z Khan","Delhi Daredevils",12,12,43.4,1,337,10,"3/21",33.7,7.71,26.2,0,0,0,0
"UT Khawaja","Rising Pune Supergiants",6,0,0,0,0,0,0,0,0,0,0,0,1,0
"V Kohli","Royal Challengers Bangalore",16,1,1,0,13,0,0,0,13,0,0,0,6,0
"Kuldeep Yadav","Kolkata Knight Riders",3,3,12,0,100,6,"3/35",16.66,8.33,12,0,0,1,0
